scope,height_m,nmse,mean_error_norm,mean_error_encoded,mae_norm,rmse_norm,mae_encoded,rmse_encoded,psnr_db,ssim,eval_rx_count,strategy,round,sampled_rx_count,sampled_ratio,new_budget_rx_count,eval_scope
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,proposed_v2_c,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0009186013228208421,-0.019061692088380766,-4.860731482537095,0.019061692088380766,0.01965558713024984,4.860731482537095,5.01217471821371,34.13027957758578,0.9789256382462102,3809,proposed_v2_c,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0008268483131367276,-0.01802875647315846,-4.597332900655408,0.018029783809668007,0.01864924518422409,4.597594871465342,4.755557521977143,34.5867748255887,0.9794302136575941,3727,proposed_v2_c,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0008258371214368053,-0.017994731656481373,-4.58865657240275,0.017995006802641315,0.01863844056929963,4.588726734673536,4.752802345171406,34.591808535433955,0.9789658411781422,3645,proposed_v2_c,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0008341715112734411,-0.018072061932826358,-4.608375792870722,0.018072199309571487,0.01873332868437032,4.608410823940729,4.776998814514432,34.54770093854857,0.9779749116551302,3563,proposed_v2_c,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0008494760754942025,-0.01825980657614774,-4.656250676917674,0.01825980657614774,0.01890501488059137,4.656250676917674,4.820778794550799,34.468459529153826,0.9781409786733992,3481,proposed_v2_c,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,proposed_v2_j,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0008815882033442611,-0.01862344027629641,-4.748977270455585,0.018623492103700845,0.019252947951512205,4.748990486443716,4.909501727635613,34.31005526487222,0.9779083079933194,3809,proposed_v2_j,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0007814056045053227,-0.01743674065556896,-4.446368867170085,0.01743756661250056,0.018125092347395694,4.446579486187643,4.621898548585902,34.83439544039488,0.977520937275896,3727,proposed_v2_j,2,369,0.090087890625,82,unmeasured_rx
overall,,0.000722077810943886,-0.01668813498422442,-4.255474420977228,0.01669267824811373,0.017422505389160837,4.256632953269001,4.442738874236014,35.1777878494258,0.9765428371076038,3645,proposed_v2_j,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0007934202895999267,-0.017558109750247155,-4.477317986313024,0.01755823310827426,0.01826223611881196,4.4773494426099365,4.6568702102970505,34.76892092748757,0.976471186518223,3563,proposed_v2_j,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0007500467544438543,-0.017018297440496814,-4.339665847326688,0.017020866929782736,0.01775529133420856,4.340321067094598,4.527599290223183,35.01344394536488,0.9759990166967044,3481,proposed_v2_j,5,615,0.150146484375,82,unmeasured_rx
